;topic_id;top_terms;N_posts;P_posts;Label;Importance;examples;
1;0;No topic;11778;17,09632468;;;"Pour info à ceux qui l'ignore, bill Gates n'a vacciné AUCUN de ses enfants. C'est pas pour rien. 
 Partagez en masse, SVP !!! Il faut les arrêter avec leur vaccin à ARN qui est une véritable catastrophe pour l'Humanité et nous conduit vers le transhumanisme voulu par Bill Gates !!!! #TousAvecRemy #PourLaNouvelleFrance 
 @ElianeCarrier Le vaccin est créé par Bill Gates. Il est susceptible de tuer 10 à 15% de la population et de stériliser 97% des femmes (ça sonne complotiste et c'est pourtant Bill Gates lui-même qui parlait d'un vaccin capable de ça). Dépopulation. Nous ne sommes pas tous utiles pour les servir 
 @lamine_sage Mais meme maintenant à notre epoque, si tu propose d injecter des puces dans l avant bras pour regler en mini CB sans code, t'en a qui vont payer pour l'avoir en premier 
 @christine_kelly @NicoleDelepine Allons c est vous la journaliste ! l'herbe à pik tout comme l artemisia annua ça rapporte rien a bigpharma c est naturel et surtout ça empêcherait macronavirus de suivre le plan: ruine&peur, vaccin, puce,revenu universel. Reduction&Controle de la population d ici 2030. Le N O M.";
2;1;comme, gens, 5g, vaccine, peu, mettre, temps, juste, cas, enfants;4855;7,047262382;Puces traqueuses dans le vaccin;0;"@camelinb Ça veut dire si votre chat n'est pas pucé et donc vacciné. C'est Bigpharma qui ne veut louper aucun client quel que soit le nombre de pattes 
 Dites, c'est quoi cette histoire de puces traqueuses qu'on pourrait nous mettre dans les vaccins ? Elle est au point cette technologie ? On sait faire des puces de la taille de globules ????? 
 @abderstein https://t.co/sB3bz4Ya5k Aller hop hop hop tous sa petite puce sous la peau pour savoir si t’es vacciné <U+0001F643> 
 @Franois_Girard @NCheron_bourse ""Bill Miller on airlines: If you don’t own them, ‘you’re making a bet against the vaccine"" C'est surtout qu'entre le début du confinement et le vaccin, ça va très mal se passer pour elles, surtout après 50Mds de buybacks. Rien à voir avec le fait de trouver un vaccin ou pas. 
 @les_vaxxeuses @x_xdir @JoshL65457849 @tinkerb999 @AnonymeCitoyen Qd bill veut obliger au vaccin expérimental https://t.co/3Iv6s3g7Fj";
3;2;5g, nanoparticules, controler, injecter, complot, gens, grace, nano, anti, implanter;7156;10,38727283;"Incrédule par rapport à la
 Fake News";1;"D’après WHATSAPP ils vont utiliser le vaccin contre le Corona pour nous mettre une puce et ce sera obligatoire 
 Et si les nanoparticules activées par la 5G qui vont nous être inoculés avec le vaccin covid n'etait en fait destinées à faire passer les suppositoires activés par la 6G !?! <U+0001F914> #antisuppo https://t.co/TusCQu0W7y 
 @StephaneDeTroie Ce genre de tweets à destination des neuneus permet au gouvernement de les identifier facilement dans les réponses. Ils sont prioritaires pour recevoir le vaccin avec des puces qui injectent de l’alcool dans le sang pour qu’ils n’aillent plus au PMU. Merci pour ta collaboration 
 @__Asfa__ Ouf!! Vu que Bill Gate a incorporé une puce dans le vaccin.... les infos pourront donc passer par la 5G . 
 @GerardBondeau Oui je pense ! Non oarcque a un moment...je reçois a l instant un mail avec : victoire le Canada condamné pour crime contre l'humanité car le vaccin combine de la 5g et des nanoparticules ...";
4;3;musk, elon, refuse, milliardaire, traite, cretin, change, oms, monde, anti;1178;1,709922778;Milliardaires contrôlent le monde;0;"@veritebeaute Il n'y a pas besoin d'aucun vaccin. Bill Gates faut l'enfermer en psychiatrie 
 @PYMcsween L'école est contrôlée par Bill Gates (un milliardaire pro-vaccin qui veut nous inoculer une puce) et George Soros (un milliardaire communisse qui finance les antifas qui veulent brûler ta maison). #FaitesVosRecherches 
 purquoi un kluster de milliardaire aurait droit de vie & de mort sue humanité etrangere a la leur BILL GATES VEUT LA VACCINATION MONDIALE ET SE FAIT TRAITER DE CRETIN PAR ELON MUSK https://t.co/3GAvoQC0MR via @pierrejovanovic 
 <U+26A0><U+FE0F> Face à la censure des réseaux sociaux, rejoignez nous sur notre canal <U+0001F449> telegram https://t.co/DXqqFVmuHQ Le plan de Bill Gates pour nous vacciner de force https://t.co/fN6TrjrrEJ 
 Le vaccin de Bill Gates vous donne la vie éternelle hi hi hi";
5;4;enfants, inde, afrique, monde, oms, morts, comme, 000, cause, vaccine;2523;3,662253963;"Actions de la fondation Gates 
En Afrique aurait tué beaucoup
de gens";0;"Bill Gates a promit le dépeuplement de 500000000 millions de décédés (es) sur cette planète pour avoir de l'espace assez vaste pour vendre ses vaccins au reste des humains et chapeauter l'Afrique comme un Empereur de l'OMS Organisation Macabre de Sadiques https://t.co/S4Xtv9i7nU 
 Bill Gates, ses vaccins et ses étranges placements financiers !!! https://t.co/jZgQxs6lRo https://t.co/ylLC7CAT1v 
 Sur https://t.co/DNPiiUu9TJ publié la mort des Gates en 2013 en Inde après des vaccination fatales ainsi que photos des doubles de Gates. Mme Gates était homme et Mr Gates était femme. Comparaison des visages des 4 imparable 
 @biobiobiobior La philanthrope Melinda Gates !!!! Il faudrait lui rappeler que sa fondation avec son mari assassin a fait mourir et rendre malades bcp d’enfants en Afrique et en Asie, pris comme cobayes pour tester leurs vaccins tueurs. 
 @ClemPouletty J’ai appris que la puce permettrait d’ouvrir les portes des commerces, qui n’autoriseraient que les vaccinés. Affaire à suivre.";
6;5;être, monde, russie, refuse, peuple, poutine, genetique, vacciné, eviter, nez;383;0,555942635;"Manipulation de la fondation
Gates vis-a-vis des  gouvernements Européen et  Américain";0;"Benaouda Abdeddaïm : Défi du vaccin contre le Covid-19, Bill Gates mise sur l'Union européenne face à l'administration Trump - 04/05 https://t.co/l6IpCpuLey 
 Vous contribuez au bouclage du pays: traçage, puçage et vaccination. Celle qui s'en vient sera encore plus abominable que les autres vaccinations. ÊTES-VOUS PRÊT À VOUS FAIRE INJECTER CES BOMBES? https://t.co/yOlxxGUZHW 
 Forçage génétique, comment la fondation Gates a manipulé l'ONU pour éviter le moratoire. Quid de la technologie utilisée au niveau du vaccin? https://t.co/y7oBWmKEvE 
 DÉLIVRANCE PROPHÉTIQUE : CAMEROUN – CONTRAT DE PARTENARIAT RELATIF À LA MISE EN ŒUVRE DE LA « COUVERTURE SANTÉ UNIVERSELLE », LE VOILE DE LA VACCINATION POUR TOUS *** L’AMÉRICAIN BILL GATES PRENDS DE REVERS LE MINISTRE DE LA SANTÉ, DOCTEUR MALACHIE MANAOUDA DANS LA SIGNATURE https://t.co/yYoaSWJyTC 
 Tous les indicateurs analysés montrent une régression au niveau mondial. Par exemple, l’extrême pauvreté a fait un bond de 7 %. La couverture vaccinale régresse dangereusement vers les niveaux observés dans les années 1990. @gatesfoundation #Goalkeepers https://t.co/P0kFLsI2KO";
7;6;population, mondiale, sante, oms, reduire, 10, milliards, fondation, 15, mondial;2165;3,142600012;"Vaccination permettra d’éliminer
Une partie de la pop";1;"Raison pour laquelle je milite contre ce vaccin que Bill Gate lui-même dit être fait pour éliminer environ 10/15% de la population mondiale. 5G détruite par ceux qui comprennent le mécanisme de cette action Letale du Deep State @mallandir @nova153 
 Bill Gates : Dépopulation par Vaccination https://t.co/EEZt0Veo4l via @YouTube 
 @Bonnan13 @LillyOURien @B__I__N__Z @BFMTV @tradingdedaubes Bill Gates avoue tranquillement que les vaccins permettent de diminuer la population mondiale de 10 à 15%, cela ne vous choque pas ? Il a été chassé d'Inde, une pétition circule pour le poursuivre pour crimes contre l'humanité aux USA. Quand a l'OMS, elle est interdite au Burundi 
 Bill Gates affirme que les vaccins servent à réduire la population mondiale https://t.co/tQkpmfJUgP via @DansSouvenirs 
 Bill Gates sur CNN : Le but est avoué, tant que nous n’aurons pas un taux de vaccination suffisant, rien ne redeviendra normal. https://t.co/EyqAD6X4Uw";
8;7;oms, fondation, monde, gavi, finance, macron, comme, pharma, big, trump;2675;3,88288916;"Hydroxicloroquine plus efficace 
que le vaccin";0;"@jo_delb @TheLancet ""Alors t'as Buzyn-Lévy (Lévy, hein! Air plein de sous-entendus), Discovery, Remdesivir, Gilead, Lacombe, Bill Gates, les vaccins et la 5G, BlackRock, et donc Macron"" ... et ? ""Ben quand même ! Et 1 euro la dose, hein ? C'est quand même la preuve que ça marche, la chloroquine..."" 
 @NaphtalineLeBon un des premiers contributeurs de l'OMS est Bill Gates avec sa fondation... Il a peut-être inciter l'OMS à cette décision, peur que les gens préféreraient plutôt se faire soigner avec de l'hydroxy chloroquine que de faire un vaccin douteux... qui sait ? #COVID<U+30FC>19 #Méfiance 
 Le journal LE MONDE travaille pour Bill Gates et la désinformation vaccinaliste https://t.co/JeEWZrJuzP j'espère quelqu'un pour désinformer cette info.. car même si je ne suis pas Coco, ça m'emmerde que mes impôts finances des corrompus! 
 #Tokyo2020 Pour #BillGates cofondateur de #Microsoft le sort des #JO de Tokyo dépendra du succès des #vaccinations https://t.co/8L9SmSqqGr https://t.co/OD91xBKVmG 
 J'ignorais que Melinda Gates était une médecin épidémiologiste de renommée internationale !";
9;8;5g, comme, gens, monde, peur, nanoparticules, sait, solution, mettre, vaccine;3578;5,193636416;"Vaccin pour mettre des 
nanoparticules";0;"Le port du masque obligatoire quand la pandémie est finie montre que le prochain ordre sera de se faire vacciner pour pouvoir enlever le masque. Ce qui fera plaisir au fumeux Bill ! 
 Si #Microsoft est capable de créer des logiciels sur des appareils PENSONS-Y BIEN, qu'est-ce qu'ils peuvent faire de NOUS, les humains de la terre ? Qu'est-ce que l'on vaut pour eux ? Juste un VIRUS pour nous faire peur Juste un vaccin pour nous contrôler Une pilule pour mourir. 
 Du complotisme en? <U+0001F644> Cela fait des années qu'ils ne sont pas crus et là ça passe comme si de rien était aux yeux du grand public à cause d'une crise sanitaire? <U+0001F914> ..Non mais là, c'est quand ils vont allumer? <U+0001F635> https://t.co/VVNLyEzTOU 
 @gibus_p Ah oui c'est pas du tout le même type j'avais remarqué ! Bill Gates ne se vaccinera jamais ! 
 @roselis26653435 @Lemasquecaclc @silvano_trotta Lol lis l'article du Monde. Ce journal est quand même ""respecté"". Pour chaque épidémie il faudra vacciner nous finirons par recevoir les nanoparticules améliorés.";
10;9;polio, afrique, epidemie, finance, onu, origine, fondation, admettre, inde, enfants;932;1,35284213;"Vaccin contre la polio réalisé
 par la fondation Gates ";1;"CORONAVIRUS BILL GATES OMS FAUSSE PANDÉMIE , FAUSSE PANDÉMIE !! Un docteurs indien a blâmé le programme de Gates et a affirmé que les vaccins """"contre"""" la polio en Inde on créé une épidémie de polio et 496 000 enfants ont été paralysés ent https://t.co/TuCodVOtMY via @NS2017 
 L’ONU obligée d’admettre que le vaccin financé par les Gates est à l’origine d’une épidémie de polio en Afrique https://t.co/zvsv4RgckT 
 @DubreuilhMarcel @graf_luc Quand on voie que ses vaccins contre la polio en Afrique ont entraîné selon l'ONU une épidémie incontrôlée de polio, moi je refuse catégoriquement le vaccin des gates 
 [William Engdahl] Le vaccin de Gates propage la polio à travers l'Afrique https://t.co/XbdeVHv8xA 
 Le vaccin de Gates propage la polio à travers l'Afrique https://t.co/yb603juLzA via @Réseau International";
11;10;ls, big, pharma, memes, loi, virus, avia, blackrock, empechera, jaunes;250;0,362886837;"Même tweet avec tous ses 
retweet";0;"@F_Charvier @J_Denormandie De bill gates qui marionettise, à la casse du code du travail, cadeaux du style l'isf, gilets jaunes, blackrock, un ""virus"" pour ls mêmes du big pharma, loi ""avia ""n'empêchera de renaitre ailleurs plus fort, apprenez: ls sous n'achetent, ni ne vaccinent ce qui se merite: la Paix! 
 @ALCattelot @EPhilippePM @olivierveran @murielpenicaud @BrunoLeMaire @CCastaner @jmblanquer @Elisabeth_Borne De bill gates qui marionettise, à la casse du code du travail, cadeaux du style l'isf, gilets jaunes, blackrock, un ""virus"" pour ls mêmes du big pharma, loi ""avia ""n'empêchera de renaitre ailleurs plus fort, apprenez: ls sous n'achetent, ni ne vaccinent ce qui se merite: la Paix! 
 @premarmanche @XavierBatut @gouvernementFR @SGMer @Prefecture50 @Prefet14 @prefet59 @Prefet62 @Prefet80 @Prefet76 De bill gates qui marionettise, à la casse du code du travail, cadeaux du style l'isf, gilets jaunes, blackrock, un ""virus"" pour ls mêmes du big pharma, loi ""avia ""n'empêchera de renaitre ailleurs plus fort, apprenez: ls sous n'achetent, ni ne vaccinent ce qui se merite: la Paix! 
 @EmmanuelMacron De bill gates qui marionettise, à la casse du code du travail, cadeaux du style l'isf, gilets jaunes, blackrock, un ""virus"" pour ls mêmes du big pharma, loi ""avia ""n'empêchera de renaitre ailleurs plus fort, apprenez: ls sous n'achetent, ni ne vaccinent ce qui se merite: la Paix! 
 @becht_olivier @florence_parly De bill gates qui marionettise, à la casse du code du travail, cadeaux du style l'isf, gilets jaunes, blackrock, un ""virus"" pour ls mêmes du big pharma, loi ""avia ""n'empêchera de renaitre ailleurs plus fort, apprenez: ls sous n'achetent, ni ne vaccinent ce qui se merite: la Paix!";
12;11;5g, anti, comme, injection, nanoparticules, autre, vaccine, dose, pr, virus;1777;2,57939964;"Humour par rapport à la 
Fake News";1;"@Ascl_Pios Moi ce qui me fait vraiment peur, c'est pas la puce GPS lors de la 1ère injection mais la batterie lors du rappel <U+0001F631> Et le toucher rectal pour les mise à jour <U+0001F62D><U+0001F62D><U+0001F62D> 
 @Pillonel Photo de droite: https://t.co/k5Fh7PH8dv 
 Coronavirus, vaccin, implant et traçabilité : “le luxe de demain, ce sera d’être isolable”, prévenait Jacques Attali https://t.co/ZkjK0ulVB4 
 le truc du vaccin avec la puce c’est vraiment un truc qui me fait flipper depuis 2012 ça en parle et maintenant y’a moyen c’est du concret 
 @AstroVicnet Et c'est nano particules et puces 5g sont alimentées avec quelle sources d'énergie? Faudra se branché en 24v ? Et vu le nombre de particules qui serai injectée, pas sur que les batteries tiennent";
13;12;pasteur, institut, microsoft, brevets, johnson, france, national, verite, boris, allez;856;1,242524531;"Brevets sur les vaccins du covid 
(avant la sortie des vaccins ?)
Boris Jonhson qui a rencontré Gates";0;"Alerte Vaccin - Institut Pasteur & Microsoft ont les brevets. *** A PARTAGER *** Le vaccin ChAdOx1 n-CoV-19 : - Coronavirus ""ChadOx1 n-CoV-19"" - 4 fragments du HIV1 - ADN Malaria - 157 séquences d'ADN - pas d'explication n'est donnée - Nanoparticules https://t.co/h4ROqz1p34 https://t.co/pgPL0CI9BB 
 A regarder d’urgence avant la censure : Institut Pasteur et Microsoft on... https://t.co/XIW1tPOC3k via @YouTube @guyboulianne @LucieLaurier @lachancebernard @jjcrevecoeur #vaccin #5G 
 @ViveLaFrance999 allez hop le final = Institut Pasteur et Microsoft ! Urgent à sauvegarder la vérité et les brevets sur la création du covid19 en FRANCE et du vaccin. https://t.co/g0red5o7ir 
 Grand Reset - Le mondialiste Klaus Schwab : Le monde ne reviendra « jamais » à la normale après le COVID/Boris Johnson rencontrera Bill Gates pour planifier le déploiement du vaccin national avec les géants de l’industrie pharmaceutique https://t.co/I7fvyKYPBS via @leblogALupus 
 #AFRIK_COM Covid-19 : l’Institut Pasteur et Microsoft ont-ils les brevets du vaccin ? (vidéo) https://t.co/1a21wtcUJ6";
14;13;microsoft, passeport, numerique, id2020, vaccinal, 2020, brevet, rfid, gavi, oracle;2023;2,936480288;"Pas de reprise normal sans 
vaccin";0;"Bill Gates dit que les rassemblements publics de masse ne reviendront ""pas du tout"" jusqu'à ce que tous les êtres humains dans le monde soient vaccinés !!! 
 @franceclermont @Alexis_Cossette Le département américain de la Défense (DOD) et le ministère de la Santé et des Services sociaux (HHS) attribuent un contrat de 138 millions de dollars pour permettre l'utilisation de seringues préremplies et RFID pour le futur vaccin COVID-19. https://t.co/1rwjp17vvE 
 Bill Gates déclare que les « rassemblements de masse » ne reviendront peut-être pas sans un vaccin mondial https://t.co/CykmUF4Z46 
 Vaccines are not dangerous. https://t.co/ilSZ0FE3a6 
 Microsoft, Oracle, Salesforce join effort to develop COVID-19 vaccination digital passport https://t.co/e9oln2o0oI";
15;14;humanite, enfants, anti, accuse, comme, binoche, monde, juliette, oms, mettre;1208;1,753469198;"Tweet en réaction aux propos 
de Juliette Binoche, actrice, qui 
adhère à fond à la Fake News";1;"Surtout quand la tribune en question est lancée par Juliette Binoche qui en parallèle délire complètement sur Instagram à propos des vaccins, de Bill Gates et de la 5G. 
 Juliette Binoche accuse Bill Gates de mettre des puces de géolocalisation dans les vaccins anti Covid-19 https://t.co/OBQDdyJYjO via @cnews 
 #Coronavirus : 5G, vaccins, Bill Gates, puces Rfid, quand Juliette #Binoche relaie des théories du complot sur #Instagram! Elle accuse les vaccins contre le #Covid19, en cours de conception, d’être fomentés par les Américains pour traquer la population!!! https://t.co/c0g25HcJ2w 
 Un gauchiste face à un extrémiste qui nous parle de complotisme. Le niveau zéro des @GG_RMC. Tristesse... <U+0001F622> @Olivier_Truchot et @AlainMarschall, ça ne vous tente plus le journalisme ? #Gates #Vaccin #Binoche #Covid_19 #coronavirus 
 la chloroquine fzit l'affaire Bill, remballe tes vaccins";
